N,EST_ari,SE_ari,EST_geo,SE_geo,EST_cv,SE_cv,EST_geo_anal
10000,6.464281234434016,0.08363402250384316,6.097274652035697,0.07819818741286137,6.874128046602712,0.00551278325894472,6.474847237106069
20000,6.5662703090079475,0.059432481952809875,6.259941213322892,0.056434514164987556,6.8606817393583786,0.0038622858736455036,6.474847237106069
30000,6.591850938553464,0.048679412521247876,6.186207389462045,0.045530726505952815,6.862691257649063,0.0031068331496924622,6.474847237106069
40000,6.545947413091121,0.0418665649825423,6.177017147347279,0.03915465892485334,6.867654768666081,0.0027505092698328184,6.474847237106069
50000,6.6064153447172655,0.03765085343969296,6.1369901113616185,0.03515293577371081,6.865910957325748,0.0024435835738062348,6.474847237106069
60000,6.489275556764975,0.03399941889194765,6.245662939661646,0.032416965079441556,6.85989391826429,0.0022144111168606174,6.474847237106069
70000,6.542512504867947,0.03172920198518545,6.175262270175001,0.02985146837499209,6.868783292472689,0.0020612810778916375,6.474847237106069
80000,6.6046438655981925,0.02981448955932512,6.183240303907858,0.02788241731158542,6.86350324471503,0.0019150651281946655,6.474847237106069
90000,6.54758954638341,0.027912189440292997,6.167955829121902,0.02621018746912246,6.866755597083779,0.0018065493093640283,6.474847237106069
100000,6.545226356630339,0.02658017283064423,6.194475461854277,0.02495532409496538,6.866882204795812,0.001719147121120534,6.474847237106069
110000,6.593380472238893,0.02537392998789732,6.18012836707424,0.02372726437906646,6.868012239229006,0.0016371316877343643,6.474847237106069
120000,6.554956691698453,0.024208272942469106,6.1908527667334585,0.022726942728352788,6.864413634010115,0.0015726964522857826,6.474847237106069
130000,6.578362636745183,0.023218169711139706,6.189740991816117,0.021913671283431645,6.864213402208846,0.0015166181931020077,6.474847237106069
140000,6.600173725568839,0.022415700001762285,6.196732523582052,0.021059319498133708,6.8598085321511375,0.001453385364384957,6.474847237106069
150000,6.556351647029344,0.02160296588553961,6.2148697179203065,0.020375740935924716,6.8663522591038815,0.001402426490626732,6.474847237106069
160000,6.554871080429021,0.0209777615671152,6.198072633917965,0.01972014799855102,6.862895803239843,0.0013564735424496266,6.474847237106069
170000,6.591301792803947,0.02029618653673832,6.153745315603439,0.0190928210210743,6.865162917172172,0.0013152924441488518,6.474847237106069
180000,6.573333130662657,0.019757594944224913,6.190864135699939,0.01861289198650267,6.863235538128375,0.0012795160004251459,6.474847237106069
190000,6.575995345166655,0.01919269553859482,6.1782250564470536,0.018074876298695888,6.862982291564508,0.001241362549286188,6.474847237106069
200000,6.5704534118349525,0.01875910693977359,6.210272652277663,0.017652586711630044,6.865274699810117,0.0012105526313247084,6.474847237106069
210000,6.566853540974251,0.018303816556362252,6.194182833340777,0.017231751295135142,6.862584326811101,0.001185393860290095,6.474847237106069
220000,6.590659121389199,0.01788027021047908,6.195640465654932,0.016801867371164934,6.8636597690695265,0.001161059810936431,6.474847237106069
230000,6.571049819406898,0.017485565487079906,6.205602049330878,0.016478867894952804,6.864094811804528,0.0011337089581088214,6.474847237106069
