BnR,PW,LR,LR_smooth
0.017271961545935133,0.017948204160309768,0.017977015632404822,0.017996490606126982
0.01798770259145921,0.01803136102231109,0.01829088726342342,0.01818919030851234
0.018722278927654656,0.017945626796548278,0.018292510030527984,0.018233227078076064
0.01789352613810058,0.018127608538021787,0.018189752509483476,0.018121324364556716
0.0177240085220558,0.018011944674076043,0.018161145365221888,0.018050740945783034
0.018703443636983064,0.018151262198145075,0.018427085256600372,0.018063117227608838
0.018025373172802617,0.018068126781075458,0.018056857573670367,0.018132039202914393
0.017818184975413986,0.018253154354104403,0.018223794128237183,0.018042766262335242
0.019287337647805325,0.018111525804818174,0.01815595079700562,0.01802443475757209
0.018816455381013286,0.017740696013693127,0.01829576721377788,0.018197954058245685
0.01757332619668217,0.017953103321487713,0.018218632349921403,0.01814909871186793
0.018044208463473987,0.01815692827943435,0.01833572894640325,0.018030713837262125
0.017950032010115802,0.018275591834569817,0.018148431305152878,0.018001247880466264
0.018345573114221247,0.01798448092212449,0.018130942517521797,0.018257154780006783
0.01766750265004058,0.018319826259826692,0.018094783347517615,0.018323945306563134
0.01938151410116351,0.01789612468688104,0.0181081259674238,0.018044708961783024
0.018383243695564655,0.018344386000069733,0.018217500462031824,0.018193653656050964
0.017705173231383764,0.017980554392905093,0.01830511663199734,0.01836768473154136
0.017761679103398764,0.018013804189378035,0.018263882745792843,0.01796619520181842
0.018176055498175803,0.017924838063451288,0.01826643221982001,0.018465120731719922
0.017403808580636726,0.018046640815558047,0.018192106509270806,0.0180004664510676
0.01793119671944421,0.018139421855319755,0.018233520700360915,0.017959111471326103
0.01783702026608558,0.018181126217142456,0.018187973604019435,0.01816053638167083
0.01710244392988991,0.01812814401421717,0.01814052888147751,0.01804717097444715
0.017347302708621726,0.018230619314299694,0.018242365898468095,0.01772996186829315
0.017931196719443987,0.01803280501553679,0.018111541366818425,0.017856598890394516
0.018458584858251248,0.018164056570042428,0.018233128517511746,0.018153889585240373
0.01781818497541421,0.01833659182377073,0.01818063834020845,0.01806366032282128
0.01857159660228147,0.018354969983480032,0.018314048257544784,0.01793545517236745
0.018119549626161024,0.01801599868758195,0.01823944362955712,0.018140631990277788
0.018270231951534432,0.018163681447648464,0.01827707302232894,0.018219209463105793
0.01778051439407058,0.018299017815399117,0.018191734664530092,0.018074250181716777
0.01842091427690784,0.017970048319393483,0.018248594859782582,0.018295571259823784
0.018797620090341693,0.01839167923798705,0.017997529623182365,0.018167246921021493
0.01783702026608558,0.018184478407982332,0.01807667336365151,0.017929571511501232
0.017686337940712393,0.018204638848739556,0.018199123401201018,0.0181298769406027
0.017497985033995356,0.01811547507445665,0.018243081400349623,0.018156086458495133
0.01747914974332354,0.01778788675670802,0.01820311360565377,0.01812235188515888
0.018383243695564433,0.01812991789061929,0.01840088573372435,0.01851197090274519
0.018006537882131024,0.01850677486928496,0.018391529986074896,0.0183034780700355
0.01898597299705851,0.018131872733008175,0.018228840555501623,0.018111927925950302
