N,EST_ari,SE_ari,EST_geo,SE_geo,EST_cv,SE_cv,EST_geo_anal
10000,6.7249750571707425,0.08482605018699475,6.485960133643127,0.0819335503059291,6.713474108167015,0.0023097843673899505,6.474847237106069
20000,6.65254528113716,0.060050677216134454,6.415836509020162,0.05802666359224635,6.713591421843897,0.0016452989213207698,6.474847237106069
30000,6.459430697659507,0.04791924117973884,6.228966415307734,0.04631731118538615,6.713721485812783,0.001303025841544595,6.474847237106069
40000,6.552129532802254,0.041958377835330456,6.320510222754973,0.040579603955052494,6.711654910364962,0.0011069805752383596,6.474847237106069
50000,6.619398275409064,0.037532891385951075,6.383888641321048,0.03627013443948424,6.71348807379162,0.0010314827644520375,6.474847237106069
60000,6.6096961226853015,0.03444698496894464,6.374117440097197,0.033285298426982364,6.713902526705844,0.0009415974981589368,6.474847237106069
70000,6.56473106238419,0.03166539446779031,6.329995909610132,0.030600443751283766,6.7145678607816945,0.0008625282640121068,6.474847237106069
80000,6.524275903127052,0.029513672786748983,6.292019730775431,0.028525891431743444,6.713364664691847,0.0008006161511375344,6.474847237106069
90000,6.636015001520923,0.028004252040933427,6.398577323120524,0.027056280866670612,6.714927081631185,0.0007733073490961188,6.474847237106069
100000,6.554129190204475,0.02639471421838879,6.321104709740815,0.025512151436609568,6.713129462721891,0.0007297040570608951,6.474847237106069
110000,6.565432809714673,0.02531102650875888,6.33104481297789,0.024462916417279094,6.714166141619512,0.0006857001840638278,6.474847237106069
120000,6.5713354052394655,0.02419198400428331,6.337691781449341,0.023384797454185226,6.713171726176999,0.0006637068495166035,6.474847237106069
130000,6.562669438658969,0.023264000155003257,6.328484944886454,0.022482644736888796,6.714061663643553,0.000636530659801655,6.474847237106069
140000,6.564017046235905,0.02235056265866412,6.3305721073575505,0.02159976121161718,6.71325070307163,0.0006144971448305596,6.474847237106069
150000,6.576772987344714,0.021704463235373127,6.341975957573599,0.020976437651030126,6.714204186147169,0.0005947207145202394,6.474847237106069
160000,6.588454617676072,0.020960015899953353,6.35400391844448,0.020260305749928306,6.713424970723705,0.0005710795035075738,6.474847237106069
170000,6.572290179829061,0.020312269471064126,6.338305254235213,0.01963338111406641,6.71350068749608,0.0005556288937294195,6.474847237106069
180000,6.581643213542548,0.019796261571086975,6.347042589320616,0.01913145971772496,6.713839234688103,0.0005428381921764246,6.474847237106069
190000,6.529360681059622,0.019177682823314907,6.296331090286461,0.018534805626945795,6.714000123541453,0.0005222913405214203,6.474847237106069
200000,6.5993407554313475,0.018776680666969477,6.364583945401427,0.01814832861160916,6.713379325666051,0.0005117760190477763,6.474847237106069
210000,6.541802122872623,0.018286043688185396,6.309015402322019,0.017674283651591453,6.713310510917796,0.0004970081162886594,6.474847237106069
220000,6.556506506112022,0.017840738768020923,6.322801054643719,0.017242186480101163,6.713772079740613,0.00048773642162431414,6.474847237106069
230000,6.578576101730355,0.01751280237749358,6.344419224156755,0.01692625395857465,6.713474205228209,0.0004750345106842014,6.474847237106069
240000,6.551403480350833,0.01706290237692379,6.318389533137445,0.016493752954758144,6.713200067408889,0.00046454848484343933,6.474847237106069
250000,6.549332520490501,0.016754384921627608,6.315697668261073,0.016191683976160855,6.713951469503761,0.00045769646615540925,6.474847237106069
260000,6.552867578030358,0.016456672113463335,6.31957155871019,0.015905317904173044,6.713465943349435,0.00044937707513544235,6.474847237106069
